date,coking_coal_usd_per_tonne
2023-01-01,130.89
2023-01-02,132.47
2023-01-03,132.35
2023-01-04,132.42
2023-01-05,127.05
2023-01-06,125.95
2023-01-07,125.46
2023-01-08,125.77
2023-01-09,120.02
2023-01-10,122.76
2023-01-11,120.25
2023-01-12,122.91
2023-01-13,124.41
2023-01-14,122.18
2023-01-15,118.97
2023-01-16,122.42
2023-01-17,123.63
2023-01-18,122.1
2023-01-19,119.09
2023-01-20,119.06
2023-01-21,123.26
2023-01-22,122.27
2023-01-23,123.49
2023-01-24,121.44
2023-01-25,121.7
2023-01-26,121.15
2023-01-27,119.66
2023-01-28,117.15
2023-01-29,113.94
2023-01-30,117.7
2023-01-31,120.28
2023-02-01,118.3
2023-02-02,124.24
2023-02-03,126.42
2023-02-04,123.24
2023-02-05,121.95
2023-02-06,120.63
2023-02-07,121.82
2023-02-08,120.32
2023-02-09,121.49
2023-02-10,123.99
2023-02-11,123.2
2023-02-12,119.07
2023-02-13,124.85
2023-02-14,127.12
2023-02-15,125.86
2023-02-16,127.61
2023-02-17,133.65
2023-02-18,131.71
2023-02-19,129.23
2023-02-20,131.3
2023-02-21,128.33
2023-02-22,125.8
2023-02-23,127.16
2023-02-24,127.81
2023-02-25,124.88
2023-02-26,128.47
2023-02-27,124.35
2023-02-28,122.65
2023-03-01,122.7
2023-03-02,124.22
2023-03-03,125.05
2023-03-04,123.31
2023-03-05,122.08
2023-03-06,121.3
2023-03-07,123.67
2023-03-08,120.89
2023-03-09,119.98
2023-03-10,118.46
2023-03-11,124.32
2023-03-12,121.35
2023-03-13,120.0
2023-03-14,118.34
2023-03-15,115.71
2023-03-16,118.71
2023-03-17,117.71
2023-03-18,125.91
2023-03-19,124.29
2023-03-20,124.7
2023-03-21,124.1
2023-03-22,122.37
2023-03-23,119.79
2023-03-24,125.24
2023-03-25,125.05
2023-03-26,125.96
2023-03-27,124.62
2023-03-28,127.29
2023-03-29,126.37
2023-03-30,127.11
2023-03-31,130.18
2023-04-01,132.36
2023-04-02,138.58
2023-04-03,138.93
2023-04-04,143.71
2023-04-05,143.69
2023-04-06,142.86
2023-04-07,142.06
2023-04-08,144.9
2023-04-09,142.76
2023-04-10,140.36
2023-04-11,139.92
2023-04-12,138.0
2023-04-13,137.99
2023-04-14,140.3
2023-04-15,137.5
2023-04-16,141.46
2023-04-17,140.52
2023-04-18,140.07
2023-04-19,134.01
2023-04-20,132.14
2023-04-21,127.73
2023-04-22,131.71
2023-04-23,135.68
2023-04-24,135.33
2023-04-25,135.03
2023-04-26,132.85
2023-04-27,133.98
2023-04-28,135.05
2023-04-29,135.1
2023-04-30,132.55
2023-05-01,132.81
2023-05-02,133.89
2023-05-03,133.61
2023-05-04,135.65
2023-05-05,133.04
2023-05-06,136.87
2023-05-07,133.68
2023-05-08,135.32
2023-05-09,136.08
2023-05-10,142.26
2023-05-11,140.24
2023-05-12,135.47
2023-05-13,129.13
2023-05-14,129.54
2023-05-15,133.13
2023-05-16,136.35
2023-05-17,138.37
2023-05-18,140.23
2023-05-19,141.24
2023-05-20,147.48
2023-05-21,148.15
2023-05-22,150.78
2023-05-23,150.17
2023-05-24,148.47
2023-05-25,146.88
2023-05-26,151.06
2023-05-27,150.72
2023-05-28,154.3
2023-05-29,150.37
2023-05-30,147.45
2023-05-31,147.02
2023-06-01,142.21
2023-06-02,144.24
2023-06-03,144.85
2023-06-04,142.9
2023-06-05,144.84
2023-06-06,140.35
2023-06-07,139.51
2023-06-08,141.67
2023-06-09,138.9
2023-06-10,136.57
2023-06-11,136.3
2023-06-12,144.04
2023-06-13,145.85
2023-06-14,147.31
2023-06-15,145.28
2023-06-16,146.15
2023-06-17,144.1
2023-06-18,147.11
2023-06-19,148.58
2023-06-20,149.53
2023-06-21,151.52
2023-06-22,155.39
2023-06-23,157.98
2023-06-24,163.74
2023-06-25,164.94
2023-06-26,165.45
2023-06-27,166.71
2023-06-28,169.17
2023-06-29,166.42
2023-06-30,165.95
2023-07-01,163.56
2023-07-02,159.35
2023-07-03,156.67
2023-07-04,153.89
2023-07-05,154.96
2023-07-06,153.53
2023-07-07,158.1
2023-07-08,157.18
2023-07-09,153.76
2023-07-10,156.89
2023-07-11,155.36
2023-07-12,157.87
2023-07-13,159.03
2023-07-14,155.15
2023-07-15,153.78
2023-07-16,152.37
2023-07-17,149.63
2023-07-18,147.47
2023-07-19,146.67
2023-07-20,144.97
2023-07-21,145.66
2023-07-22,139.7
2023-07-23,140.06
2023-07-24,139.02
2023-07-25,140.93
2023-07-26,138.75
2023-07-27,139.51
2023-07-28,137.47
2023-07-29,140.84
2023-07-30,144.85
2023-07-31,144.83
2023-08-01,142.85
2023-08-02,142.86
2023-08-03,140.75
2023-08-04,138.43
2023-08-05,141.1
2023-08-06,143.17
2023-08-07,138.4
2023-08-08,139.78
2023-08-09,144.49
2023-08-10,141.54
2023-08-11,139.05
2023-08-12,140.59
2023-08-13,148.02
2023-08-14,148.28
2023-08-15,147.93
2023-08-16,152.24
2023-08-17,152.83
2023-08-18,154.15
2023-08-19,155.8
2023-08-20,159.86
2023-08-21,158.81
2023-08-22,161.31
2023-08-23,156.41
2023-08-24,153.23
2023-08-25,157.55
2023-08-26,151.84
2023-08-27,150.61
2023-08-28,150.5
2023-08-29,148.16
2023-08-30,154.53
2023-08-31,157.73
2023-09-01,156.19
2023-09-02,153.74
2023-09-03,156.68
2023-09-04,154.74
2023-09-05,157.44
2023-09-06,159.01
2023-09-07,157.58
2023-09-08,157.87
2023-09-09,158.45
2023-09-10,160.15
2023-09-11,153.36
2023-09-12,154.82
2023-09-13,154.52
2023-09-14,155.46
2023-09-15,155.88
2023-09-16,156.67
2023-09-17,158.28
2023-09-18,157.56
2023-09-19,153.75
2023-09-20,152.97
2023-09-21,158.12
2023-09-22,153.0
2023-09-23,149.28
2023-09-24,148.44
2023-09-25,145.75
2023-09-26,149.92
2023-09-27,150.29
2023-09-28,149.07
2023-09-29,145.64
2023-09-30,142.47
2023-10-01,144.5
2023-10-02,143.58
2023-10-03,138.01
2023-10-04,139.66
2023-10-05,142.2
2023-10-06,136.24
2023-10-07,134.56
2023-10-08,137.37
2023-10-09,138.17
2023-10-10,138.8
2023-10-11,142.34
2023-10-12,143.84
2023-10-13,146.7
2023-10-14,146.13
2023-10-15,149.6
2023-10-16,150.72
2023-10-17,150.9
2023-10-18,151.79
2023-10-19,149.68
2023-10-20,149.94
2023-10-21,145.34
2023-10-22,145.58
2023-10-23,148.33
2023-10-24,148.95
2023-10-25,147.18
2023-10-26,147.12
2023-10-27,147.66
2023-10-28,148.45
2023-10-29,150.11
2023-10-30,149.22
