date,vessel_type,origin_country,freight_rate_usd_per_tonne,bunker_price_usd_per_tonne_ifo380,port_congestion_index
2023-01-01,Handysize,Australia,9.86,455.6,0.221
2023-01-02,Handysize,Australia,9.81,429.7,0.349
2023-01-03,Handysize,Australia,9.42,435.0,0.429
2023-01-04,Handysize,Australia,9.53,462.8,0.803
2023-01-05,Handysize,Australia,9.67,461.2,0.758
2023-01-06,Handysize,Australia,9.92,429.0,0.517
2023-01-07,Handysize,Australia,9.59,431.5,0.505
2023-01-08,Handysize,Australia,9.45,462.8,0.438
2023-01-09,Handysize,Australia,9.32,451.0,0.634
2023-01-10,Handysize,Australia,9.15,429.4,0.511
2023-01-11,Handysize,Australia,9.27,452.1,0.487
2023-01-12,Handysize,Australia,9.47,444.4,0.468
2023-01-13,Handysize,Australia,9.55,452.3,0.815
2023-01-14,Handysize,Australia,9.39,458.8,0.267
2023-01-15,Handysize,Australia,9.77,467.0,0.467
2023-01-16,Handysize,Australia,9.98,453.4,0.282
2023-01-17,Handysize,Australia,10.21,452.2,0.31
2023-01-18,Handysize,Australia,10.16,451.8,0.497
2023-01-19,Handysize,Australia,10.02,448.4,0.233
2023-01-20,Handysize,Australia,10.64,442.7,0.309
2023-01-21,Handysize,Australia,10.71,434.8,0.334
2023-01-22,Handysize,Australia,10.69,469.3,0.276
2023-01-23,Handysize,Australia,10.62,456.1,0.622
2023-01-24,Handysize,Australia,10.35,420.2,0.66
2023-01-25,Handysize,Australia,10.23,460.5,0.241
2023-01-26,Handysize,Australia,10.12,463.6,0.438
2023-01-27,Handysize,Australia,10.26,466.8,0.447
2023-01-28,Handysize,Australia,10.05,452.7,0.573
2023-01-29,Handysize,Australia,10.26,468.4,0.338
2023-01-30,Handysize,Australia,10.23,466.0,0.077
2023-01-31,Handysize,Australia,10.49,473.1,0.48
2023-02-01,Handysize,Australia,10.23,450.9,0.372
2023-02-02,Handysize,Australia,9.92,462.4,0.602
2023-02-03,Handysize,Australia,9.99,475.4,0.294
2023-02-04,Handysize,Australia,9.97,477.2,0.583
2023-02-05,Handysize,Australia,10.37,446.8,0.293
2023-02-06,Handysize,Australia,10.43,461.7,0.259
2023-02-07,Handysize,Australia,10.45,475.3,0.604
2023-02-08,Handysize,Australia,10.6,508.5,0.264
2023-02-09,Handysize,Australia,10.76,462.7,0.525
2023-02-10,Handysize,Australia,10.4,450.5,0.669
2023-02-11,Handysize,Australia,10.66,463.5,0.23
2023-02-12,Handysize,Australia,10.67,466.7,0.559
2023-02-13,Handysize,Australia,10.62,462.3,0.52
2023-02-14,Handysize,Australia,10.71,465.3,0.438
2023-02-15,Handysize,Australia,10.64,463.2,0.21
2023-02-16,Handysize,Australia,10.88,460.1,0.569
2023-02-17,Handysize,Australia,10.68,452.7,0.321
2023-02-18,Handysize,Australia,10.79,492.5,0.376
2023-02-19,Handysize,Australia,10.47,455.1,0.507
2023-02-20,Handysize,Australia,10.39,464.5,0.245
2023-02-21,Handysize,Australia,10.81,453.1,0.412
2023-02-22,Handysize,Australia,10.86,469.2,0.535
2023-02-23,Handysize,Australia,10.5,459.3,0.6
2023-02-24,Handysize,Australia,10.77,465.5,0.429
2023-02-25,Handysize,Australia,10.53,466.4,0.413
2023-02-26,Handysize,Australia,10.39,481.0,0.755
