Company_Name,ship_name,built_year,gt,dwt,length,width,Ship_Age,Risk_Level,draft_m
ORE SHENZHEN,Bulk Carrier,2018.0,203953.0,398997,362,65.0,8.0,Low Risk,23.0
SAHAM MAX,Bulk Carrier,2013.0,201705.0,400694,360,65.0,13.0,Low Risk,23.0
STELLAR RIO,Bulk Carrier,1994.0,160666.0,298450,332,58.0,32.0,High Risk,22.9225
STELLAR UNICORN,Bulk Carrier,1993.0,156352.0,279022,330,56.0,33.0,High Risk,21.9511
BING N,Bulk Carrier,1992.0,154030.0,322941,339,55.0,34.0,High Risk,23.0
GEMMA,Bulk Carrier,2012.0,151915.0,313049,330,57.0,14.0,Low Risk,23.0
HUGO N,Bulk Carrier,2011.0,151448.0,297088,327,55.0,15.0,Low Risk,22.8544
PACIFIC CORAL,Bulk Carrier,1995.0,148169.0,265278,324,56.0,31.0,High Risk,21.2639
BERGE ELBRUS,Bulk Carrier,2015.0,135472.0,250379,325,57.0,11.0,Low Risk,20.51895
INDIGO HOPE,Bulk Carrier,2013.0,132508.0,251019,330,57.0,13.0,Low Risk,20.55095
GOLDEN SPRAY,Bulk Carrier,2021.0,109716.0,210667,300,49.0,5.0,Low Risk,18.53335
CAPE BROLGA,Bulk Carrier,2021.0,108697.0,211982,300,50.0,5.0,Low Risk,18.5991
MINERAL YANGFAN,Bulk Carrier,2019.0,108130.0,206392,300,50.0,7.0,Low Risk,18.3196
MINERAL HIROSHIGE,Bulk Carrier,2019.0,107916.0,208572,300,50.0,7.0,Low Risk,18.4286
GUANG LI HAI,Bulk Carrier,2017.0,107844.0,207241,300,50.0,9.0,Low Risk,18.36205
GOLDEN COMFORT,Bulk Carrier,2020.0,107737.0,208385,300,50.0,6.0,Low Risk,18.419249999999998
HENRIETTE OLDENDORFF,Bulk Carrier,2016.0,107700.0,209067,300,50.0,10.0,Low Risk,18.45335
LINDA OLDENDORFF,Bulk Carrier,2014.0,107553.0,207562,300,50.0,12.0,Low Risk,18.3781
FRIEDRICH OLDENDORFF,Bulk Carrier,2020.0,107450.0,208822,300,50.0,6.0,Low Risk,18.4411
SAMJOHN DREAM,Bulk Carrier,2012.0,107198.0,206610,300,50.0,14.0,Low Risk,18.3305
FPMC B NATURE,Bulk Carrier,2015.0,107026.0,207987,300,50.0,11.0,Low Risk,18.39935
MATHILDE OLDENDORFF,Bulk Carrier,2013.0,106847.0,206080,300,50.0,13.0,Low Risk,18.304000000000002
CAPE SASANQUA,Bulk Carrier,2011.0,106413.0,207860,300,50.0,15.0,Low Risk,18.393
BAO GUO,Bulk Carrier,2007.0,106367.0,207875,300,50.0,19.0,Low Risk,18.39375
C.S. BRILLIANCE,Bulk Carrier,2019.0,105964.0,208480,300,50.0,7.0,Low Risk,18.424
NETADOLA,Bulk Carrier,2007.0,104721.0,206312,300,50.0,19.0,Low Risk,18.3156
